"ID";"Kategoria nadrzędna";"Nazwa"
"3";"Strona główna";"Sklep z lampami"
"4";"Sklep z lampami";"Zwisy wiszące"
"5";"Sklep z lampami";"Lampy z abażurami"
"6";"Sklep z lampami";"Lampy chromowane"
"7";"Sklep z lampami";"Plafony domowe / wewnętrzne"
"8";"Sklep z lampami";"Lampy wiszące"
"9";"Sklep z lampami";"Lampy sufitowe"
"10";"Sklep z lampami";"Lampy LOFT / Industrialne"
"11";"Sklep z lampami";"Lampy podłogowe / stojące"
"12";"Sklep z lampami";"Kinkiety"
"13";"Sklep z lampami";"Lampki stołowe nocne"
"14";"Sklep z lampami";"Lampy dziecięce"
"15";"Sklep z lampami";"Reflektory sufitowe / spoty"
"16";"Zwisy wiszące";"Zwisy wiszące pojedyncze kuchenne"
"17";"Zwisy wiszące";"Zwisy wiszące pojedyncze nowoczesne"
"18";"Lampy z abażurami";"Lampa abażur materiałowa"
"19";"Lampy chromowane";"Plafony chrom"
"20";"Plafony domowe / wewnętrzne";"Plafony klasyczne "
"21";"Lampy wiszące";"Żyrandole retro"
"22";"Lampy sufitowe";"Lampy sufitowe do sypialni"
"23";"Lampy sufitowe";"Lampy sufitowe do salonu"
"24";"Kinkiety";"Kinkiety klasyczne"
"25";"Zwisy wiszące";"Zwisy wiszące pojedyncze regulowane"
"26";"Lampy wiszące";"Lampy wiszące kuchenne"
"27";"Lampy LOFT / Industrialne";"Lampy 5-płomienne LOFT / Industrialne"
"28";"Lampy sufitowe";"Lampy sufitowe klasyczne"
"29";"Lampy sufitowe";"Lampy sufitowe nowoczesne"
"30";"Lampy sufitowe";"Lampy sufitowe ze szklanymi kloszami"
"31";"Lampy dziecięce";"Lampy wiszące dziecięce"
"32";"Lampy wiszące";"Żyrandole klasyczne"
"33";"Lampy wiszące";"Lampy wiszące z abażurami"
"34";"Lampy sufitowe";"Lampy sufitowe biurowe"
"35";"Lampy LOFT / Industrialne";"Lampy 1-płomienne LOFT / Industrialne"
"36";"Zwisy wiszące";"Zwisy wiszące pojedyncze z abażurem"
"37";"Lampy dziecięce";"Lampy sufitowe dziecięce"
"38";"Lampy chromowane";"Lampy wiszące chrom"
"39";"Zwisy wiszące";"Zwisy wiszące pojedyncze dekoracyjne"
"40";"Lampy wiszące";"Lampy wiszące w oplocie"
"41";"Kinkiety";"Kinkiety nowoczesne"
"42";"Lampy wiszące";"Lampy wiszące nowoczesne"
"43";"Lampy chromowane";"Kinkiety chrom"
"44";"Plafony domowe / wewnętrzne";"Plafony nowoczesne"
"45";"Lampy z abażurami";"Lampa abażur dziecięca"
"46";"Zwisy wiszące";"Zwisy wiszące pojedyncze - kule kolorowe"
"47";"Lampy LOFT / Industrialne";"Lampy kinkiety LOFT / Industrialne"
"48";"Lampy wiszące";"Lampy wiszące ze szklanymi kloszami"
"49";"Lampy wiszące";"Lampy wiszące regulowane"
"50";"Lampy z abażurami";"Lampa abażur wzór kwiaty"
"51";"Lampy LOFT / Industrialne";"Lampy 3-płomienne LOFT / Industrialne"
"52";"Zwisy wiszące";"Zwisy wiszące pojedyncze industrialne"
"53";"Kinkiety";"Kinkiety z abażurami"
