"ID";"Nazwa";"Adresy URL zdjęcia (x,y,z...)";"Opis";"Cecha(Nazwa:Wartość:Pozycja:Indywidualne)";"Cena zawiera podatek. (brutto)";"ID reguły podatku";"Kategorie (x,y,z...)";"Marka";"Indeks #";"Podsumowanie";"Ilość"
"1";"Lampa Kinkiet Edison Loft";"https://light-home.pl/1203-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/3222-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1204-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1205-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1206-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1207-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1208-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1209-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1210-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/1211-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/3482-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/3481-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/3223-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/3221-thickbox_default/lampa-kinkiet-edison-loft.jpg,https://light-home.pl/5249-thickbox_default/lampa-kinkiet-edison-loft.jpg,";"<p><strong>Lampa ścienna kinkiet loft różne kolory<br/></strong><br/>Nowoczesny i unikalny design kinkietu wprowadzi do Twoich wnętrz elegancję i oryginalność. Spiralne łączenie oraz brak kloszy to świetny sposób na udekorowanie pomieszczenia w każdym stylu.<br/><br/><strong>Do jakich wnętrz pasuje prezentowana lampa?<br/></strong><br/>Kinkiet z powodzeniem będzie pełnił funkcje oświetlenia łazienkowego, kuchennego czy biurowego. Dzięki wielu kolorom do wyboru możesz z łatwością tworzyć piękne aranżacje, o jakich marzysz!<br/><br/><strong>Jakie materiały zostały wykorzystane do produkcji kinkietu ściennego?<br/></strong><br/>Lampa w całości wykonana jest z trwałego metalu, dzięki czemu oświetlenie posłuży Twoim wnętrzom przez długi czas. Kinkiet może być zasilany wieloma źródłami zasilania, na przykład żarówkami LED lub energooszczędnymi.</p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Turkusowy:2,Kolor:Biały:3,Kolor:Grafit z brokatem:4,Kolor:Szary:5,Kolor:Pomarańczowy:6,Kolor:Czarny:7,Kolor:Fioletowy:8,Kolor:Czerwony:9,Kolor:Grafitowy:10,Kolor:Żółty:11,Wymiary:Wysokość całkowita 22 cm / szerokość 19 cm (wymiar bez żarówki):12,Wymiary Klosza:W zależności od wybranej żarówki:13,Regulacja kąta światła:Nie:14,Zasilanie: ~230[V]/ nie wymaga transformatora:15,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:16,Rodzaj gwintu:żarówka gwint E27:17,Gwarancja:24 miesiące:18,Styl:Nowoczesny:19,Ilość źródeł światła:1 źródło:20,Regulacja wysokości:Nie:21,";"39,00 zł";"1";"47";"Light Home ";"";"";"10"
"2";"Lampa Wisząca Pojedyncza Kula Chrom";"https://light-home.pl/15382-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/15384-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/15386-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3473-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3474-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3475-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3476-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/15385-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/15383-thickbox_default/lampa-wiszaca-kula-chrom.jpg,";"<p><strong>Lampa 1 – płomienna metalowa kula<br/></strong><br/>Oryginalny, ale prosty styl lampy wiszącej sprawiają, że Twoje wnętrza będą wyglądać zniewalająco. Oświetlenie świetnie uzupełni każdą aranżację.<br/><br/><strong>Gdzie zawiesić prezentowaną lampę wiszącą?<br/></strong><br/>Zastosowań nowoczesnej lampy jest całe mnóstwo. Może ona być oświetleniem kuchennym, biurowym czy pokojowym. Metaliczny połysk lampy sufitowej sprawia, że świetnie komponuje się ze wszystkimi kolorami wnętrz.<br/><br/><strong>Z czego wykonana jest lampa wisząca?</strong><br/><br/>Oświetlenie zostało w całości stworzone z metalu, przez co jest wyjątkowo trwałe i wytrzymałe. Wnętrze klosza jest białe. Lampa posiada także możliwość regulacji wysokości, aby mogła idealnie dopasować się do każdego wymiaru pomieszczenia. Oświetlenie jest zasilane wieloma rodzajami światła, na przykład żarówkami ledowymi.</p>";"Materiały wykonania:Metal w powłoce chromowej:1,Kolor:Chrom:2,Wymiary:Wysokość całkowita(regulowana) do 115cm / szerokość 18cm:3,Wymiary Klosza:Średnica 18cm:4,Zasilanie: ~230[V]/ nie wymaga transformatora:5,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:6,Rodzaj gwintu:żarówka gwint E27:7,Gwarancja:24 miesiące:8,Rodzaj klosza:Metalowy:9,Styl:Nowoczesny:10,Ilość źródeł światła:1 źródło:11,Regulacja wysokości:Tak:12,";"99,00 zł";"1";"38";"Light Home ";"BALL 18 1407/1";"BALL 18 1407/1";"10"
"3";"Lampa Wisząca Chromowane Kule";"https://light-home.pl/1224-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/6398-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3466-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/6399-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3462-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3463-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3464-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3465-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3468-thickbox_default/lampa-wiszaca-kula-chrom.jpg,https://light-home.pl/3467-thickbox_default/lampa-wiszaca-kula-chrom.jpg,";"<p><strong>Lampa wiszące kule chrom <br/></strong><br/>Oryginalny i zachwycający design lampy sufitowej wprowadzi mnóstwo nowoczesności do Twoich wnętrz. Trzy wiszące kule z powodzeniem ozdobią wnętrza w każdym stylu – od awangardowych po klasyczne.<br/><br/><strong>W jakich pomieszczeniach najlepiej sprawdzi się nasza 3 - płomienna lampa?<br/></strong><br/>Oświetlenie sufitowe będzie znakomicie prezentować się w kuchni, jadalni, pokoju czy gabinecie. Metaliczny kolor pasuje do wszystkich innych barw. Chcesz osiągnąć wyjątkowy i niepowtarzalny design w swoich wnętrzach? Unikatowa lampa z wiszącymi kulami z pewnością pomoże Ci skomponować wymarzoną aranżację.<br/><br/><strong>Jakie zalety posiada nasza lampa wisząca?<br/></strong><br/>Oświetlenie zostało wykonane z metalu, dzięki czemu masz gwarancję wytrzymałości i trwałości. Wysokość lampy wiszącej jest regulowana, przez co możesz sam decydować, jak ma wyglądać oświetlenie Twojego wnętrza. Dodatkowo lampa posiada możliwość zasilania jej żarówkami LED oraz posiada opcję podłączenia pod podwójny przełącznik.</p>";"Materiały wykonania:Metal w powłoce chromowej:1,Kolor:Chrom:2,Wymiary:Wysokość całkowita (regulowana) do 95 cm / szerokość 70 cm:3,Wymiary Klosza:Średnica 18cm:4,Regulacja kąta światła:Nie:5,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:6,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:7,Rodzaj gwintu:żarówka gwint E27:8,Gwarancja:24 miesiące:9,Rodzaj klosza:Metalowy:10,Styl:Nowoczesny:11,Ilość źródeł światła:3 źródła:12,Regulacja wysokości:Tak:13,";"249,00 zł";"1";"42";"Light Home ";"BALL 18 1407/3/L";"BALL 18 1407/3/L";"10"
"4";"Nowoczesna Lampa Wisząca Kule Chrom";"https://light-home.pl/816-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3483-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3484-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3485-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3486-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3488-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,https://light-home.pl/3487-thickbox_default/lampa-3-plomienna-kule-chrom.jpg,";"<p align=""left""><strong>Lampa wisząca metalowa 3 źródła zasilania</strong></p>";"Materiały wykonania:Metal w powłoce chromowej:1,Kolor:Chrom:2,Wymiary:wysokość całkowita(regulowana) do 115cm / szerokość 36cm:3,Wymiary Klosza:Średnica 18cm:4,Regulacja kąta światła:Nie:5,Zasilanie:~230 [V] / nie wymaga transformatora/ możliwość podłączenia pod podwójny przełącznik:6,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:7,Rodzaj gwintu:żarówka gwint E27:8,Gwarancja:24 miesiące:9,Rodzaj klosza:Metalowy:10,Styl:Nowoczesny:11,Ilość źródeł światła:3 źródła:12,Regulacja wysokości:Tak:13,";"259,00 zł";"1";"8";"Light Home ";"BALL 18 1407/3";"BALL 18 1407/3";"10"
"5";"Oryginalna Lampa Wisząca Loft Retro Edison";"https://light-home.pl/1295-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/1296-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/1297-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/3580-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/3581-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/3582-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/3583-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/4480-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,https://light-home.pl/4479-thickbox_default/oryginalna-lampa-wiszaca-loft-retro-edison.jpg,";"<p><strong>Lampa wisząca w stylu retro</strong><br><br/>Minimalistyczny styl w połączeniu z nowoczesnym designem i klasycznymi kolorami dają lampę wiszącą, która będzie jedyną w swoim rodzaju ozdobą Twoich wnętrz.</br></p>";"Materiały wykonania:Metal malowany proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Kolor:Grafit z brokatem:4,Wymiary:Wysokość całkowita 100 cm - regulowana / szerokość 23 cm:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:8,Rodzaj gwintu:żarówka gwint E27:9,Gwarancja:24 miesiące:10,Rodzaj klosza:Metalowy:11,Styl:Nowoczesny:12,Styl:Loft:13,Ilość źródeł światła:1 źródło:14,Regulacja wysokości:Tak:15,";"55,00 zł";"1";"10";"Light Home ";"";"";"10"
"6";"Lampa Sufitowa Plafon Aluminiowy Nowoczesny";"https://light-home.pl/2206-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2207-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2205-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2202-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2203-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2204-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2237-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2238-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3962-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3961-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,";"<p><strong>Oryginalna lampa sufitowa plafon owal</strong></p>";"Materiały wykonania:Aluminium malowane proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Kolor:Szary:4,Wymiary:Wysokość 10 cm / szerokość 10 cm:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki:LED / max 20W:8,Rodzaj gwintu:żarówka gwint GU10:9,Gwarancja:24 miesiące:10,Styl:Nowoczesny:11,Ilość źródeł światła:1 źródło:12,Regulacja wysokości:Nie:13,";"50,00 zł";"1";"29";"Light Home ";"";"";"10"
"7";"Stylowy Kinkiet Chrom";"https://light-home.pl/1106-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg,https://light-home.pl/4545-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg,https://light-home.pl/4546-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg,https://light-home.pl/4547-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg,https://light-home.pl/4544-thickbox_default/kinkiet-chrom-06-lampa-nowoczesna-1-plomienna-stylowa.jpg,";"<p><strong>Metalowy kinkiet lampa ścienna <br/></strong><br/>Elegancki wygląd kinkietu nada Twoim wnętrzom oryginalnego i niepowtarzalnego klimatu. Faliste łączenia oraz metaliczny kolor lampy czynią ją wyjątkową i pasującą do każdego stylu pomieszczenia.<br/><br/><strong>Gdzie najlepiej prezentuje się metalowy kinkiet?<br/></strong><br/>Kuchnia, salon, sypialnia, biuro czy łazienka – lampa będzie pasować do każdego pomieszczenia. Kinkiet łączy w sobie nowoczesny i jednocześnie elegancki design. To właśnie dzięki temu lampa ścienna świetnie prezentuje się we wszystkich wnętrzach.<br/><br/><strong>Jakie materiały zostały użyte do produkcji kinkietu?<br/></strong><br/>Konstrukcja lampy została wykonana z metalu, co czyni ją trwałą i odporną na uszkodzenia. Klosz natomiast jest szklany. Lampa jest także bardzo funkcjonalna, dzięki możliwości podłączenia pod podwójny przełącznik. Kinkiet może być zasilany żarówkami LED, energooszczędnymi i wieloma innymi.</p>";"Materiały wykonania:Metal w powłoce chromowej:1,Kolor:Chrom:2,Wymiary:Wysokość całkowita 25cm / szerokość 25cm:3,Wymiary Klosza:średnica 10cm/ wysokość 10cm:4,Moc:40W:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki: LED / energooszczędna / zwykła / max 40W / brak w zestawie:8,Rodzaj gwintu:żarówka gwint E14:9,Gwarancja:24 miesiące:10,Rodzaj klosza:Szklany:11,Styl:Klasyczny:12,Ilość źródeł światła:1 źródło:13,Regulacja wysokości:Nie:14,";"59,00 zł";"1";"43";"Light Home ";"DORIKA 1165/K";"DORIKA 1165/K";"10"
"8";"Lampa Stojąca z Abażurem Trójnóg Podłogowa";"https://light-home.pl/1700-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1701-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1702-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1703-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1704-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1705-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1706-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1707-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1708-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1709-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/1710-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3499-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3500-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3501-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3502-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3504-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3503-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,https://light-home.pl/3505-thickbox_default/lampa-stojaca-z-abazurem-trojnog-podlogowa.jpg,";"<p><strong>Lampa stojąca trójnóg z abażurem</strong><br><br/>Elegancka i stylowa propozycja lampy stojącej, która będzie rewelacyjnie ozdabiać Twoje wnętrza oraz stanie się niezwykle funkcjonalnym oświetleniem.</br></p>";"Materiały wykonania:Metal w powłoce chromowej:1,Materiały wykonania:Abażur z materiału:2,Kolor:Czarny:3,Kolor:Biały:4,Wymiary:Wysokość z abażurem 145 cm / szerokość 55 cm:5,Wymiary Klosza:Średnica 40 cm / wysokość 20 cm:6,Regulacja kąta światła:Nie:7,Zasilanie: ~230[V]/ nie wymaga transformatora:8,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:9,Rodzaj gwintu:żarówka gwint E27:10,Gwarancja:24 miesiące:11,Styl:Klasyczny:12,Kształt abażura:Okrągły:13,Ilość źródeł światła:1 źródło:14,Regulacja wysokości:Nie:15,";"199,00 zł";"1";"18";"Light Home ";"";"";"10"
"9";"Pojedyncza Lampa Wisząca Kula Metalowa";"https://light-home.pl/1088-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/1087-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/1086-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/3636-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/3637-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/3638-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/3639-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/4552-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,https://light-home.pl/4553-thickbox_default/lampa-wiszaca-metalowa-oprawa.jpg,";"<p><strong>Lampa wisząca kula 1 źródło zasilania metal<br/></strong><br/>Klasyczny, a zarazem elegancki styl lampy wiszącej doda Twoim wnętrzom nowoczesności i wyjątkowego klimatu. <br/><br/><strong>Gdzie zawiesić prezentowaną lampę?<br/></strong><br/>Żyrandol świetnie sprawdzi się zarówno w kuchni jak i pokoju, biurze czy salonie. Ponadczasowy design lampy sufitowej z powodzeniem dopasuje się do każdego pomieszczenia. Oświetlenie zostało stworzone w klasycznych kolorach kloszy aby nadać lampie wiszącej oryginalności i wyjątkowości.<br/><br/><strong>Jakie materiały zostały użyte do produkcji oświetlenia?<br/></strong><br/>Lampa jest w całości wykonana z trwałego i odpornego na uszkodzenia metalu. Żyrandol posiada regulowaną wysokość, dzięki czemu dopasuje się do każdego rozmiaru pomieszczenia. Ponadto lampa posiada wiele źródeł zasilania, na przykład żarówki ledowe lub energooszczędne.</p>";"Materiały wykonania:Metal:1,Kolor:Biały:2,Kolor:Czarny:3,Wymiary:Wysokość całkowita(regulowana) do 115cm / szerokość 18cm:4,Wymiary Klosza:Średnica 18cm:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki:LED / energooszczędna / zwykła / max 60W/ brak w zestawie:8,Rodzaj gwintu:żarówka gwint E27:9,Gwarancja:24 miesiące:10,Rodzaj klosza:Metalowy:11,Styl:Nowoczesny:12,Ilość źródeł światła:1 źródło:13,Regulacja wysokości:Tak:14,";"71,10 zł";"1";"49";"Light Home ";"";"";"10"
"10";"Lampa Sufitowa Plafon Kwadrat Stylowa Aluminiowa";"https://light-home.pl/2229-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2231-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2230-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2226-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2227-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/2228-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3671-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3672-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3957-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,https://light-home.pl/3958-thickbox_default/lampa-kinkiet-metalowa-stylowa.jpg,";"<p><strong>Metalowy plafon lampa sufitowa kwadratowa</strong></p>";"Materiały wykonania:Aluminium malowane proszkowo:1,Kolor:Biały:2,Kolor:Czarny:3,Kolor:Szary:4,Wymiary:Wysokość 10 cm / szerokość 10 cm:5,Regulacja kąta światła:Nie:6,Zasilanie: ~230[V]/ nie wymaga transformatora:7,Kompatybilne żarówki:LED / max 20W:8,Rodzaj gwintu:żarówka gwint GU10:9,Gwarancja:24 miesiące:10,Styl:Nowoczesny:11,Ilość źródeł światła:1 źródło:12,Regulacja wysokości:Nie:13,";"50,00 zł";"1";"22";"Light Home ";"";"";"10"
